,fold,line_no,doc_offset,corpus_span,correct_span,target_line,context,correct_line
1,train,26117,115,"[17, 27): 'FOCUS-News'","[23, 27): 'News'",FOCUS-News JJ I-NP O,"RTRS NNS I-NP I-ORG
- : O O
FOCUS-News JJ I-NP O
forecasts NNS I-NP O
alien-led JJ I-NP O",[Enter here]
2,train,37914,163,"[220, 232): 'x-AEK Athens'","[222, 232): 'AEK Athens'",x-AEK IN I-NP I-ORG,": : O O

x-AEK IN I-NP I-ORG
Athens NNP I-NP I-ORG
( ( O O",[Enter here]
3,train,37926,163,"[271, 283): 'x-Olympiakos'","[273, 283): 'Olympiakos'",x-Olympiakos NNS I-NP I-ORG,") ) O O

x-Olympiakos NNS I-NP I-ORG
v IN I-NP O
Ferencvaros NNP I-NP I-ORG",[Enter here]
4,train,37933,163,"[308, 313): 'x-PAO'","[310, 313): 'PAO'",x-PAO JJ I-NP I-ORG,") ) O O

x-PAO JJ I-NP I-ORG
v IN I-NP O
Legia NNP I-NP I-ORG",[Enter here]
5,train,38844,169,"[50, 61): 'trip-Canada'","[55, 61): 'Canada'",trip-Canada NN I-NP I-MISC,"jeopardize VBP I-VP O
Commonwealth NNP I-NP I-ORG
trip-Canada NN I-NP I-MISC
. . O O",[Enter here]
6,train,44449,198,"[11, 20): 'WSC-India'","[11, 14): 'WSC'",WSC-India NNP I-NP I-ORG,"-DOCSTART- -X- -X- O

WSC-India NNP I-NP I-ORG
Rice NNP I-NP O
Weather NNP I-NP O",[Enter here]
7,train,44449,198,"[11, 20): 'WSC-India'","[15, 20): 'India'",WSC-India NNP I-NP I-ORG,"-DOCSTART- -X- -X- O

WSC-India NNP I-NP I-ORG
Rice NNP I-NP O
Weather NNP I-NP O",[Enter here]
8,train,65636,298,"[49, 60): '1997--Ruehe'","[55, 60): 'Ruehe'",1997--Ruehe CD I-NP I-MISC,"Bosnia NNP I-NP I-LOC
for IN I-PP O
1997--Ruehe CD I-NP I-MISC
. . O O",[Enter here]
9,train,75410,343,"[11, 31): 'AUSTRALIAN RULES-AFL'","[11, 21): 'AUSTRALIAN'",AUSTRALIAN NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

AUSTRALIAN NNP I-NP I-MISC
RULES-AFL NNP I-NP I-MISC
RESULTS NNP I-NP O",[Enter here]
10,train,75410,343,"[11, 31): 'AUSTRALIAN RULES-AFL'","[28, 31): 'AFL'",AUSTRALIAN NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

AUSTRALIAN NNP I-NP I-MISC
RULES-AFL NNP I-NP I-MISC
RESULTS NNP I-NP O",[Enter here]
11,train,95553,422,"[236, 246): 'Videoton(*'","[236, 244): 'Videoton'",Videoton(* NN I-NP I-ORG,"Csepel NN I-NP I-ORG
1 CD I-NP O
Videoton(* NN I-NP I-ORG
) ) O O
1 CD I-NP O",[Enter here]
12,train,102338,444,"[20, 40): 'SCOREBOARD-AUSTRALIA'","[31, 40): 'AUSTRALIA'",SCOREBOARD-AUSTRALIA NNP I-NP I-MISC,"CRICKET NNP I-NP O
- : O O
SCOREBOARD-AUSTRALIA NNP I-NP I-MISC
V NNP I-NP O
ZIMBABWE NNP I-NP I-LOC",[Enter here]
13,train,139024,593,"[45, 57): 'France-Juppe'","[45, 51): 'France'",France-Juppe JJ I-NP I-MISC,"for IN I-PP O
gloomy JJ I-NP O
France-Juppe JJ I-NP I-MISC
. . O O",[Enter here]
14,train,139024,593,"[45, 57): 'France-Juppe'","[52, 57): 'Juppe'",France-Juppe JJ I-NP I-MISC,"for IN I-PP O
gloomy JJ I-NP O
France-Juppe JJ I-NP I-MISC
. . O O",[Enter here]
15,train,146605,626,"[42, 59): 'disarmament-China'","[54, 59): 'China'",disarmament-China NN I-NP I-MISC,"step NN I-NP O
to TO I-VP O
disarmament-China NN I-NP I-MISC
. . O O",[Enter here]
16,train,164709,701,"[17, 30): 'union-England'","[23, 30): 'England'",union-England JJ I-NP I-MISC,"Rugby JJ I-NP O
union-England JJ I-NP I-MISC
given VBN I-PP O
final JJ I-NP O",[Enter here]
17,train,172643,734,"[11, 31): 'BALANCE-Water Dist 1'","[19, 31): 'Water Dist 1'",BALANCE-Water JJ I-NP I-MISC,"-DOCSTART- -X- -X- O

BALANCE-Water JJ I-NP I-MISC
Dist NN I-NP I-MISC
1 CD I-NP I-MISC",[Enter here]
18,train,213462,918,"[11, 24): 'INTERVIEW-T&N'","[21, 24): 'T&N'",INTERVIEW-T&N NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

INTERVIEW-T&N NNP I-NP I-MISC
untroubled VBN I-VP O
by IN I-PP O",[Enter here]
