fold,doc_offset,corpus_span,corpus_ent_type,error_type,correct_span,correct_ent_type,notes
dev,20,"[5423, 5433): 'Fredericks'",PER,Sentence,"[5415, 5433): 'Frankie Fredericks'",PER,
dev,20,"[5650, 5665): 'Panayiotopoulos'",PER,Sentence,"[5643, 5665): 'George Panayiotopoulos'",PER,
dev,20,"[90, 96): 'Berlin'",MISC,Sentence,"[90, 107): 'Berlin Grand Prix'",,
dev,20,"[97, 107): 'Grand Prix'",MISC,Sentence,"[90, 107): 'Berlin Grand Prix'",MISC,Needs to be consistent with how the title is annotated
dev,26,"[1381, 1386): 'India'",LOC,Tag,"[1381, 1386): 'India'",ORG,Cricket team
dev,26,"[1389, 1397): 'Zimbabwe'",LOC,Tag,"[1389, 1397): 'Zimbabwe'",ORG,Cricket team
dev,26,"[139, 148): 'Australia'",LOC,Tag,"[139, 148): 'Australia'",ORG,Cricket team
dev,26,"[153, 162): 'Sri Lanka'",LOC,Tag,"[153, 162): 'Sri Lanka'",ORG,Cricket team
dev,26,"[174, 183): 'Australia'",LOC,Tag,"[174, 183): 'Australia'",ORG,Cricket team
dev,26,"[20, 29): 'AUSTRALIA'",LOC,Tag,"[20, 29): 'AUSTRALIA'",ORG,Cricket team
dev,26,"[32, 41): 'SRI LANKA'",LOC,Tag,"[32, 41): 'SRI LANKA'",ORG,Cricket team
dev,26,"[97, 103): 'Singer'",MISC,Sentence,"[97, 116): 'Singer World Series'",MISC,
dev,26,"[104, 116): 'World Series'",MISC,Sentence,"[97, 116): 'Singer World Series'",,"Sentence boundary between ""Singer"" and ""World"""
dev,28,"[20, 29): 'AUSTRALIA'",LOC,Tag,"[20, 29): 'AUSTRALIA'",ORG,Cricket team
dev,28,"[244, 253): 'Australia'",LOC,Tag,"[244, 253): 'Australia'",ORG,Cricket team
dev,28,"[291, 297): 'Damien'",PER,Sentence,"[291, 306): 'Damien Flemming'",PER,
dev,28,"[352, 357): 'Ricky'",PER,Sentence,"[352, 365): 'Ricky Ponting'",PER,
dev,28,"[358, 365): 'Ponting'",PER,Sentence,"[352, 365): 'Ricky Ponting'",,Sentence boundary between first and last name
dev,28,"[417, 422): 'Waugh'",PER,Sentence,"[411, 422): 'Steve Waugh'",PER,
dev,28,"[77, 86): 'Australia'",LOC,Tag,"[77, 86): 'Australia'",ORG,Cricket team
dev,30,,,Missing,"[18, 21): 'NBP'",ORG,NBP == National Bank of Poland
dev,33,,,Missing,"[11, 16): 'NYMEX'",ORG,NYMEX heating oil near session lows in pre-close.
dev,33,,,Missing,"[1186, 1191): 'NYMEX'",ORG,New York Mercantile Exchange
dev,33,,,Missing,"[81, 86): 'NYMEX'",MISC,"New York Mercantile Exchange, used as an adjective"
dev,35,"[70, 74): 'Mich'",LOC,Span,"[70, 75): 'Mich.'",,Period on abbreviation at end of dateline
dev,38,,,Missing,"[1011, 1016): 'MATIF'",ORG,
dev,38,,,Missing,"[735, 738): 'PMI'",MISC,the PMI survey
dev,38,"[2202, 2211): 'EUROBONDS'",MISC,Wrong,,,"Zach: Bond exchange market; Fred: ""Eurobond"" appears to be a generic term for a type of bond; see https://www.investopedia.com/terms/e/eurobond.asp"
dev,39,"[11, 23): 'Boxing-Bruno'",MISC,Token,"[18, 23): 'Bruno'",PER,
dev,42,,,Missing,"[476, 500): 'Driefontein Consolidated'",ORG,Two companies that own a third company
dev,42,,,Missing,"[505, 516): 'Gold Fields'",ORG,Two companies that own a third company
dev,42,"[476, 539): 'Driefontein Consolidated and Gold Fields ' Kloof Gold Mining Co'",ORG,Span,"[519, 539): 'Kloof Gold Mining Co'",ORG,
dev,59,,,Missing,"[2024, 2029): 'Comex'",MISC,"""New York's Comex market"""
dev,60,"[1358, 1371): 'Tripoli-based'",MISC,Token,"[1358, 1365): 'Tripoli'",LOC,
dev,61,"[3878, 3888): 'Whitewater'",LOC,Tag,"[3878, 3888): 'Whitewater'",MISC,Event: whitewater scandal
dev,61,"[4515, 4524): 'Dow Jones'",MISC,Tag,"[4515, 4524): 'Dow Jones'",ORG,Fred: See previous line
dev,61,"[4614, 4620): 'Nasdaq'",MISC,Tag,"[4614, 4620): 'Nasdaq'",ORG,"Zach: CHECK: should this be ORG? ; Fred: Ambiguous, but there are four examples back-to-back, two tagged one way and two the other. Making everything ORG."
dev,62,"[2553, 2564): 'First Union'",ORG,Span,"[2553, 2569): 'First Union bank'",ORG,
dev,64,"[2571, 2575): 'AIDS'",MISC,Wrong,,,Diseases not considered entities
dev,65,"[1125, 1134): 'asset-St.'",MISC,Token,"[1131, 1140): 'St. Louis'",LOC,Sentence boundary and tokenization issue at the same place
dev,65,"[1359, 1376): 'Minneapolis-based'",MISC,Token,"[1359, 1370): 'Minneapolis'",LOC,"For consistency with [1131, 1140): 'St. Louis' above"
dev,65,"[1419, 1429): 'Ohio-based'",MISC,Token,"[1419, 1423): 'Ohio'",LOC,"For consistency with [1131, 1140): 'St. Louis' above"
dev,65,"[592, 607): 'St. Louis-based'",MISC,Token,"[592, 601): 'St. Louis'",LOC,"For consistency with [1131, 1140): 'St. Louis' above"
dev,65,"[793, 802): 'Mo.-based'",MISC,Token,"[793, 796): 'Mo.'",LOC,"For consistency with [1131, 1140): 'St. Louis' above"
dev,77,"[14, 34): 'Computer Systems Inc'",ORG,Span,"[11, 34): 'Aw Computer Systems Inc'",ORG,
dev,77,"[14, 34): 'Computer Systems Inc'",,Span,"[11, 34): 'Aw Computer Systems Inc'",,
dev,78,"[81, 85): 'Name'",MISC,Wrong,,,
dev,80,"[716, 722): 'Gama'a'",MISC,Tag,"[716, 722): 'Gama'a'",ORG,al-Gama'a al-Islamiya
dev,83,,,Missing,"[1718, 1726): 'Commerce'",ORG,
dev,84,"[114, 120): 'NY Dow'",MISC,Tag,"[114, 120): 'NY Dow'",ORG,Fred: Stock market
dev,84,"[1274, 1287): 'Raymond James'",PER,Tag,"[1274, 1287): 'Raymond James'",ORG,
dev,84,"[195, 201): 'Nikkei'",MISC,Tag,"[195, 201): 'Nikkei'",ORG,Fred: Stock market
dev,84,"[252, 257): 'Brent'",ORG,Tag,"[252, 257): 'Brent'",MISC,A grade of zinc
dev,84,"[273, 277): 'FTSE'",MISC,Tag,"[273, 277): 'FTSE'",ORG,Fred: Stock market
dev,86,"[306, 309): 'FTO'",ORG,Tag,"[306, 309): 'FTO'",MISC,Name of a type of options contract (Notional Guilder Bond Future)
dev,86,"[923, 926): 'FTO'",ORG,Tag,"[923, 926): 'FTO'",MISC,Name of a type of options contract (Notional Guilder Bond Future)
dev,87,,,Missing,"[181, 191): 'pro-Moscow'",MISC,
dev,87,,,Missing,"[595, 600): 'Cotti'",PER,"powers there, "" said Cotti, who"
dev,89,,,Missing,"[1042, 1050): 'Armenian'",MISC,
dev,89,"[336, 347): 'Azerbaijani'",PER,Tag,"[336, 347): 'Azerbaijani'",MISC,
dev,90,"[983, 991): 'Onarheim'",LOC,Tag,"[983, 991): 'Onarheim'",PER,Stig Onarheim
dev,91,"[374, 377): 'AXE'",MISC,Tag,"[374, 377): 'AXE'",ORG,Fred: AXE is a brand name; see https://en.wikipedia.org/wiki/AXE_telephone_exchange
dev,91,,,Missing,"[38, 41): 'SKR'",MISC,Swedish crowns
dev,93,,MISC,Missing,"[1025, 1030): 'Timor'",LOC,Indonesia's controversial Timor national car
dev,93,"[794, 804): 'Philippine'",LOC,Tag,"[794, 804): 'Philippine'",MISC,Philippine government
dev,99,"[1710, 1732): 'Burj al-Laqlaq Society'",LOC,Tag,"[1710, 1732): 'Burj al-Laqlaq Society'",ORG,
dev,102,"[172, 178): 'Israel'",LOC,Tag,"[172, 178): 'Israel'",ORG,Soccer team
dev,102,"[182, 190): 'Bulgaria'",LOC,Tag,"[182, 190): 'Bulgaria'",ORG,Soccer team
dev,102,"[19, 25): 'ISRAEL'",LOC,Tag,"[19, 25): 'ISRAEL'",ORG,Soccer team
dev,102,"[31, 39): 'BULGARIA'",LOC,Tag,"[31, 39): 'BULGARIA'",ORG,Soccer team
dev,103,"[19, 24): 'IRISH'",MISC,Tag,"[19, 24): 'IRISH'",ORG,Soccer team
dev,103,"[214, 220): 'Alpine'",MISC,Tag,"[214, 220): 'Alpine'",ORG,ambiguous seems to ref an irish football team
dev,103,"[673, 679): 'Eschen'",LOC,Tag,"[673, 679): 'Eschen'",MISC,"Proper noun as adjective: ""Ireland's visit to theÊEschenÊstadium"""
dev,104,"[121, 134): 'Liechtenstein'",LOC,Tag,"[121, 134): 'Liechtenstein'",ORG,Soccer team
dev,104,"[19, 26): 'IRELAND'",LOC,Tag,"[19, 26): 'IRELAND'",ORG,Soccer team
dev,104,"[32, 45): 'LIECHTENSTEIN'",LOC,Tag,"[32, 45): 'LIECHTENSTEIN'",ORG,Soccer team
dev,104,"[96, 115): 'Republic of Ireland'",LOC,Tag,"[96, 115): 'Republic of Ireland'",ORG,Soccer team
dev,106,"[115, 128): 'Faroe Islands'",LOC,Tag,"[115, 128): 'Faroe Islands'",ORG,Soccer team
dev,106,"[19, 27): 'SLOVAKIA'",LOC,Tag,"[19, 27): 'SLOVAKIA'",ORG,Soccer team
dev,106,"[232, 245): 'Faroe Islands'",LOC,Tag,"[232, 245): 'Faroe Islands'",ORG,Soccer team
dev,106,"[279, 287): 'Slovakia'",LOC,Tag,"[279, 287): 'Slovakia'",ORG,Soccer team
dev,106,"[33, 39): 'FAROES'",LOC,Tag,"[33, 39): 'FAROES'",ORG,Soccer team
dev,106,"[97, 105): 'Slovakia'",LOC,Tag,"[97, 105): 'Slovakia'",ORG,Soccer team
dev,108,"[543, 546): 'Aki'",PER,Tag,"[543, 546): 'Aki'",ORG,
dev,109,"[145, 152): 'England'",LOC,Tag,"[145, 152): 'England'",ORG,Cricket team
dev,109,"[157, 165): 'Pakistan'",LOC,Tag,"[157, 165): 'Pakistan'",ORG,Cricket team
dev,109,"[179, 186): 'England'",LOC,Tag,"[179, 186): 'England'",ORG,Cricket team
dev,109,"[20, 27): 'ENGLAND'",LOC,Tag,"[20, 27): 'ENGLAND'",ORG,
dev,109,"[30, 38): 'PAKISTAN'",LOC,Tag,"[30, 38): 'PAKISTAN'",ORG,
dev,109,"[59, 69): 'BIRMINGHAM'",ORG,Tag,"[59, 69): 'BIRMINGHAM'",LOC,
dev,109,,,Missing,"[765, 773): 'pakistan'",ORG,Cricket team
dev,110,"[2192, 2196): 'Jane'",PER,Sentence,"[2192, 2204): 'Jane Quigley'",PER,
dev,110,"[2197, 2204): 'Quigley'",PER,Sentence,"[2192, 2204): 'Jane Quigley'",,Sentence boundary between first and last name
dev,110,"[2349, 2361): 'Samokhvalova'",PER,Sentence,"[2340, 2361): ''Svetlana Samokhvalova' ",,
dev,110,"[2349, 2361): 'Samokhvalova'",PER,Sentence,"[2340, 2361): 'Svetlana Samokhvalova'",PER,
dev,110,"[2438, 2442): 'Rasa'",PER,Sentence,"[2438, 2452): 'Rasa Mazeikyte'",PER,
dev,110,"[2443, 2452): 'Mazeikyte'",PER,Sentence,"[2438, 2452): 'Rasa Mazeikyte'",,Sentence boundary between first and last name
dev,112,"[1702, 1710): 'New York'",LOC,Tag,"[1702, 1710): 'New York'",ORG,Yankees
dev,112,,,Missing,"[2041, 2050): 'Ex-Yankee'",MISC,
dev,112,"[2973, 2980): 'Chicago'",LOC,Tag,"[2973, 2980): 'Chicago'",ORG,Baseball team
dev,112,"[324, 329): 'Texas'",LOC,Tag,"[324, 329): 'Texas'",ORG,Texas Rangers
dev,112,"[3827, 3838): 'Kansas City'",LOC,Tag,"[3827, 3838): 'Kansas City'",ORG,Kansas City Royals baseball team
dev,112,"[536, 541): 'Texas'",LOC,Tag,"[536, 541): 'Texas'",ORG,
dev,112,"[791, 798): 'Indians'",MISC,Tag,"[791, 798): 'Indians'",ORG,Baseball team
dev,112,"[900, 905): 'Texas'",LOC,Tag,"[900, 905): 'Texas'",ORG,Baseball team
dev,112,"[3804, 3807): 'ERA'",MISC,Wrong,,,
dev,112,"[730, 733): 'RBI'",MISC,Wrong,,,Run batted in
dev,112,"[2962, 2965): 'RBI'",MISC,Wrong,,,Runs batted in
dev,112,"[2962, 2965): 'RBI'	",MISC,Wrong,,,"Abbreviation for ""runs batted in"", which isn't a named entity"
dev,112,"[3804, 3807): 'ERA'",,Wrong,,,"Abbreviation for ""earned run average"", which isn't a named entity"
dev,115,"[594, 602): 'Stirling'",ORG,Span,"[594, 609): 'Stirling County'",ORG,
dev,115,"[11, 22): 'RUGBY UNION'",ORG,Wrong,,,Generic name of a sport: https://en.wikipedia.org/wiki/Rugby_union
dev,116,"[19, 24): 'WALES'",LOC,Tag,"[19, 24): 'WALES'",ORG,Soccer team
dev,117,"[105, 121): 'Northern Ireland'",LOC,Tag,"[105, 121): 'Northern Ireland'",ORG,Soccer team
dev,117,"[19, 26): 'UKRAINE'",LOC,Tag,"[19, 26): 'UKRAINE'",ORG,Soccer team
dev,117,"[32, 48): 'NORTHERN IRELAND'",LOC,Tag,"[32, 48): 'NORTHERN IRELAND'",ORG,Soccer team
dev,117,"[92, 99): 'Ukraine'",LOC,Tag,"[92, 99): 'Ukraine'",ORG,Soccer team
dev,118,"[271, 280): 'Leicester'",LOC,Tag,"[271, 280): 'Leicester'",ORG,Rugby team
dev,118,"[50, 55): 'DWYER'",ORG,Tag,"[50, 55): 'DWYER'",PER,
dev,118,"[710, 720): 'Harlequins'",LOC,Tag,"[710, 720): 'Harlequins'",ORG,"Harlequin F.C., located in Hampstead, UK"
dev,118,"[858, 865): 'England'",LOC,Tag,"[858, 865): 'England'",ORG,Rugby team
dev,118,"[11, 22): 'RUGBY UNION'",ORG,Wrong,,,Generic name of a sport: https://en.wikipedia.org/wiki/Rugby_union
dev,124,"[597, 605): 'Al Unser'",PER,Span,"[597, 608): 'Al Unser Jr'",PER,
dev,125,"[188, 197): 'World Cup'",MISC,Span,"[183, 197): '1998 World Cup'",MISC,
dev,126,"[105, 117): 'South Africa'",LOC,Tag,"[105, 117): 'South Africa'",ORG,Rugby team
dev,126,"[2795, 2807): 'South Africa'",LOC,Tag,"[2795, 2807): 'South Africa'",ORG,Rugby team
dev,126,"[3190, 3201): 'New Zealand'",LOC,Tag,"[3190, 3201): 'New Zealand'",ORG,Rugby team
dev,126,"[350, 361): 'New Zealand'",LOC,Tag,"[350, 361): 'New Zealand'",ORG,Rugby team
dev,126,"[523, 534): 'New Zealand'",LOC,Tag,"[523, 534): 'New Zealand'",ORG,Rugby team
dev,127,"[24, 36): 'SOUTH AFRICA'",LOC,Tag,"[24, 36): 'SOUTH AFRICA'",ORG,Rugby team
dev,129,"[117, 122): 'Benin'",LOC,Tag,"[117, 122): 'Benin'",ORG,Soccer team
dev,129,"[19, 29): 'MAURITANIA'",LOC,Tag,"[19, 29): 'MAURITANIA'",ORG,Soccer team
dev,129,"[206, 211): 'Benin'",LOC,Tag,"[206, 211): 'Benin'",ORG,Soccer team
dev,129,"[40, 45): 'BENIN'",LOC,Tag,"[40, 45): 'BENIN'",ORG,Soccer team
dev,129,"[92, 102): 'Mauritania'",LOC,Tag,"[92, 102): 'Mauritania'",ORG,Soccer team
dev,130,"[180, 183): 'Rad'",ORG,Span,"[180, 187): 'Rad (B)'",,
dev,132,"[183, 188): 'Italy'",LOC,Tag,"[183, 188): 'Italy'",ORG,Basketball team
dev,132,"[201, 207): 'Russia'",LOC,Tag,"[201, 207): 'Russia'",ORG,Basketball team
dev,132,"[23, 48): 'TROFEJ BEOGRAD TOURNAMENT'",MISC,Span,"[23, 37): 'TROFEJ BEOGRAD'",MISC,"""TOURNAMENT"" is a generic term; see lede and https://en.wikipedia.org/wiki/Belgrade_Trophy"
dev,132,"[248, 255): 'Germany'",LOC,Tag,"[248, 255): 'Germany'",ORG,Basketball team
dev,132,"[270, 280): 'Yugoslavia'",LOC,Tag,"[270, 280): 'Yugoslavia'",ORG,Basketball team
dev,133,"[189, 194): 'Italy'",LOC,Tag,"[189, 194): 'Italy'",ORG,Basketball team
dev,133,"[207, 213): 'Russia'",LOC,Tag,"[207, 213): 'Russia'",ORG,Basketball team
dev,133,"[254, 261): 'Germany'",LOC,Tag,"[254, 261): 'Germany'",ORG,Basketball team
dev,133,"[276, 286): 'Yugoslavia'",LOC,Tag,"[276, 286): 'Yugoslavia'",ORG,Basketball team
dev,133,"[29, 54): 'TROFEJ BEOGRAD TOURNAMENT'",MISC,Span,"[29, 43): 'TROFEJ BEOGRAD'",MISC,"""TOURNAMENT"" is a generic term; see lede and https://en.wikipedia.org/wiki/Belgrade_Trophy"
dev,135,"[104, 112): 'Portugal'",LOC,Tag,"[104, 112): 'Portugal'",ORG,Soccer team
dev,135,"[19, 26): 'ARMENIA'",LOC,Tag,"[19, 26): 'ARMENIA'",ORG,Soccer team
dev,135,"[31, 39): 'PORTUGAL'",LOC,Tag,"[31, 39): 'PORTUGAL'",ORG,Soccer team
dev,135,"[92, 99): 'Armenia'",LOC,Tag,"[92, 99): 'Armenia'",ORG,Soccer team
dev,136,"[19, 29): 'AZERBAIJAN'",LOC,Tag,"[19, 29): 'AZERBAIJAN'",ORG,soccer team
dev,138,"[19, 25): 'SWEDEN'",LOC,Tag,"[19, 25): 'SWEDEN'",ORG,Soccer team
dev,138,"[31, 37): 'LATVIA'",LOC,Tag,"[31, 37): 'LATVIA'",ORG,Soccer team
dev,138,"[86, 92): 'Sweden'",LOC,Tag,"[86, 92): 'Sweden'",ORG,Soccer team
dev,138,"[98, 104): 'Latvia'",LOC,Tag,"[98, 104): 'Latvia'",ORG,Soccer team
dev,139,"[19, 26): 'BELARUS'",LOC,Tag,"[19, 26): 'BELARUS'",ORG,National soccer team
dev,139,"[32, 39): 'ESTONIA'",LOC,Tag,"[32, 39): 'ESTONIA'",ORG,Soccer team
dev,139,"[81, 88): 'Belarus'",LOC,Tag,"[81, 88): 'Belarus'",ORG,Soccer team
dev,139,"[94, 101): 'Estonia'",LOC,Tag,"[94, 101): 'Estonia'",ORG,Soccer team
dev,140,"[128, 136): 'European'",MISC,Span,"[128, 145): 'European Under-21'",,https://en.wikipedia.org/wiki/UEFA_European_Under-21_Championship
dev,140,"[19, 26): 'ENGLAND'",LOC,Tag,"[19, 26): 'ENGLAND'",ORG,Soccer team
dev,140,"[32, 39): 'MOLDOVA'",LOC,Tag,"[32, 39): 'MOLDOVA'",ORG,Soccer team
dev,140,"[83, 90): 'England'",LOC,Tag,"[83, 90): 'England'",ORG,Soccer team
dev,140,"[96, 103): 'Moldova'",LOC,Tag,"[96, 103): 'Moldova'",ORG,Soccer team
dev,141,,,Missing,"[1279, 1286): 'Jansher'",PER,
dev,144,"[19, 24): 'SPAIN'",LOC,Tag,"[19, 24): 'SPAIN'",ORG,Slightly ambiguous
dev,146,"[229, 242): 'United States'",LOC,Tag,"[229, 242): 'United States'",ORG,Tennis team
dev,146,"[246, 257): 'Netherlands'",LOC,Tag,"[246, 257): 'Netherlands'",ORG,Tennis team
dev,146,"[258, 272): 'Czech Republic'",LOC,Tag,"[258, 272): 'Czech Republic'",ORG,Tennis team
dev,146,"[276, 283): 'Germany'",LOC,Tag,"[276, 283): 'Germany'",ORG,Tennis team
dev,146,"[284, 290): 'France'",LOC,Tag,"[284, 290): 'France'",ORG,Tennis team
dev,146,"[294, 299): 'Japan'",LOC,Tag,"[294, 299): 'Japan'",ORG,Tennis team
dev,146,"[300, 305): 'Spain'",LOC,Tag,"[300, 305): 'Spain'",ORG,Tennis team
dev,146,"[309, 316): 'Belgium'",LOC,Tag,"[309, 316): 'Belgium'",ORG,Tennis team
dev,146,"[409, 416): 'Austria'",LOC,Tag,"[409, 416): 'Austria'",ORG,Tennis team
dev,146,"[420, 427): 'Croatia'",LOC,Tag,"[420, 427): 'Croatia'",ORG,Tennis team
dev,146,"[428, 439): 'Switzerland'",LOC,Tag,"[428, 439): 'Switzerland'",ORG,Tennis team
dev,146,"[443, 458): 'Slovak Republic'",LOC,Tag,"[443, 458): 'Slovak Republic'",ORG,Tennis team
dev,146,"[459, 468): 'Argentina'",LOC,Tag,"[459, 468): 'Argentina'",ORG,Tennis team
dev,146,"[472, 483): 'South Korea'",LOC,Tag,"[472, 483): 'South Korea'",ORG,Tennis team
dev,146,"[484, 493): 'Australia'",LOC,Tag,"[484, 493): 'Australia'",ORG,Tennis team
dev,146,"[497, 509): 'South Africa'",LOC,Tag,"[497, 509): 'South Africa'",ORG,Tennis team
dev,147,"[179, 183): 'U.S.'",LOC,Tag,"[179, 183): 'U.S.'",ORG,U.S. soccer team
dev,147,"[255, 266): 'El Salvador'",LOC,Tag,"[255, 266): 'El Salvador'",ORG,El Salvadorean soccer team
dev,147,"[29, 40): 'EL SALVADOR'",LOC,Tag,"[29, 40): 'EL SALVADOR'",ORG,U.S. BEAT EL SALVADOR 3-1.
dev,147,"[73, 86): 'United States'",LOC,Tag,"[73, 86): 'United States'",ORG,TheÊUnited StatesÊbeatÊEl SalvadorÊ3-1
dev,147,"[92, 103): 'El Salvador'",LOC,Tag,"[92, 103): 'El Salvador'",ORG,TheÊUnited StatesÊbeatÊEl SalvadorÊ3-1
dev,148,"[1266, 1273): 'CHICAGO'",LOC,Tag,"[1266, 1273): 'CHICAGO'",ORG,Baseball team
dev,148,"[1285, 1295): 'PITTSBURGH'",LOC,Tag,"[1285, 1295): 'PITTSBURGH'",ORG,Baseball team
dev,148,"[1313, 1321): 'NEW YORK'",LOC,Tag,"[1313, 1321): 'NEW YORK'",ORG,Baseball team
dev,148,"[1333, 1343): 'CINCINNATI'",LOC,Tag,"[1333, 1343): 'CINCINNATI'",ORG,
dev,148,"[1359, 1371): 'PHILADELPHIA'",LOC,Tag,"[1359, 1371): 'PHILADELPHIA'",ORG,
dev,148,"[1385, 1393): 'MONTREAL'",LOC,Tag,"[1385, 1393): 'MONTREAL'",ORG,Baseball team
dev,148,"[1406, 1414): 'ST LOUIS'",LOC,Tag,"[1406, 1414): 'ST LOUIS'",ORG,Baseball team
dev,148,"[669, 676): 'DETROIT'",LOC,Tag,"[669, 676): 'DETROIT'",ORG,Baseball team
dev,148,"[690, 697): 'SEATTLE'",LOC,Tag,"[690, 697): 'SEATTLE'",ORG,team
dev,148,"[709, 716): 'TORONTO'",LOC,Tag,"[709, 716): 'TORONTO'",ORG,Baseball team
dev,148,"[730, 739): 'MILWAUKEE'",LOC,Tag,"[730, 739): 'MILWAUKEE'",ORG,Baseball team
dev,148,"[753, 758): 'TEXAS'",LOC,Tag,"[753, 758): 'TEXAS'",ORG,Baseball team
dev,148,"[769, 776): 'OAKLAND'",LOC,Tag,"[769, 776): 'OAKLAND'",ORG,Baseball team
dev,148,"[789, 799): 'CALIFORNIA'",LOC,Tag,"[789, 799): 'CALIFORNIA'",ORG,
dev,148,"[975, 991): 'CENTRAL DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
